,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.76,21.00,25.00,23.65,23.64,"2,717,500","5,917,000",83,19,3.61,"71,289","257,261","253,471","169,844","190,713",2.18,23,16,"64,567,800",EU,"1,259,280","2,459,160","3,160,080","261,360","5,060,880",,"1,128,600","1,009,800","3,516,480","8,529,840","1,508,760","4,942,080","498,960","1,580,040","843,480",,"249,480","8,838,720","11,880","605,880","118,800","285,120","106,920","3,029,400","5,096,520",,"1,770,120","5,666,760","867,240","451,440","1,710,720"
09.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.65,21.00,24.00,22.63,22.56,"2,717,500","5,610,500",89,31,3.18,"63,039","200,375","241,224","143,026","159,667",2.06,28,19,"61,551,375",EU,"1,200,450","2,344,275","3,012,450","249,150","4,824,450",,"1,075,875","962,625","3,352,200","8,131,350","1,438,275","4,711,200","475,650","1,506,225","804,075",,"237,825","8,425,800","11,325","577,575","113,250","271,800","101,925","2,887,875","4,858,425",,"1,687,425","5,402,025","826,725","430,350","1,630,800"
06.03.2020,11:00,Auction 3. Period DE,T3PA,successful,23.36,21.00,26.00,23.40,23.34,"2,363,000","4,918,000",86,38,3.31,"57,186","189,154","237,162","118,150","135,674",2.08,26,20,"55,199,680",DE,,,,,,"55,199,680",,,,,,,,,,,,,,,,,,,,,,,,,
05.03.2020,11:01,Auction 3. Period CAP2-EU,T3PA,successful,23.90,21.00,26.00,23.92,23.88,"2,717,500","5,119,000",81,36,3.38,"63,198","213,292","229,538","135,875","150,569",1.88,24,20,"64,948,250",EU,"1,266,700","2,473,650","3,178,700","262,900","5,090,700",,"1,135,250","1,015,750","3,537,200","8,580,100","1,517,650","4,971,200","501,900","1,589,350","848,450",,"250,950","8,890,800","11,950","609,450","119,500","286,800","107,550","3,047,250","5,126,550",,"1,780,550","5,700,150","872,350","454,100","1,720,800"
03.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.26,21.00,25.00,23.26,23.26,"2,717,500","5,510,000",109,54,4.54,"50,550","229,583","300,350","135,875","140,958",2.03,24,20,"63,209,050",EU,"1,232,780","2,407,410","3,093,580","255,860","4,954,380",,"1,104,850","988,550","3,442,480","8,350,340","1,477,010","4,838,080","488,460","1,546,790","825,730",,"244,230","8,652,720","11,630","593,130","116,300","279,120","104,670","2,965,650","4,989,270",,"1,732,870","5,547,510","848,990","441,940","1,674,720"
02.03.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.96,21.00,30.00,23.98,23.95,"2,717,500","4,905,000",89,40,4.45,"55,112","245,250","319,197","159,853","195,761",1.80,20,17,"65,111,300",EU,"1,269,880","2,479,860","3,186,680","263,560","5,103,480",,"1,138,100","1,018,300","3,546,080","8,601,640","1,521,460","4,983,680","503,160","1,593,340","850,580",,"251,580","8,913,120","11,980","610,980","119,800","287,520","107,820","3,054,900","5,139,420",,"1,785,020","5,714,460","874,540","455,240","1,725,120"
28.02.2020,11:00,Auction 3. Period DE,T3PA,successful,23.46,22.75,26.00,23.31,23.23,"2,363,000","6,251,500",104,18,3.85,"60,111","231,537","314,736","262,556","232,821",2.65,27,9,"55,435,980",DE,,,,,,"55,435,980",,,,,,,,,,,,,,,,,,,,,,,,,
27.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.80,23.00,26.00,23.73,23.71,"2,717,500","6,292,500",115,34,4.26,"54,717","233,056","299,859","123,523","139,232",2.32,27,22,"64,676,500",EU,"1,261,400","2,463,300","3,165,400","261,800","5,069,400",,"1,130,500","1,011,500","3,522,400","8,544,200","1,511,300","4,950,400","499,800","1,582,700","844,900",,"249,900","8,853,600","11,900","606,900","119,000","285,600","107,100","3,034,500","5,105,100",,"1,773,100","5,676,300","868,700","452,200","1,713,600"
26.02.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,23.85,23.06,25.02,23.76,23.70,"5,332,000","11,155,000",108,25,4.00,"103,287","413,148","670,824","410,154","505,640",2.09,27,13,"127,168,200",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"127,168,200",,,,,
25.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.32,23.71,26.00,24.36,24.27,"2,717,500","5,823,500",103,39,3.96,"56,539","223,981","290,654","143,026","176,451",2.14,26,19,"66,089,600",EU,"1,288,960","2,517,120","3,234,560","267,520","5,180,160",,"1,155,200","1,033,600","3,599,360","8,730,880","1,544,320","5,058,560","510,720","1,617,280","863,360",,"255,360","9,047,040","12,160","620,160","121,600","291,840","109,440","3,100,800","5,216,640",,"1,811,840","5,800,320","887,680","462,080","1,751,040"
24.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.64,0.01,26.02,24.45,24.64,"2,717,500","5,767,000",99,47,4.30,"58,253","250,739","393,945","150,972","198,670",2.12,23,18,"66,959,200",EU,"1,305,920","2,550,240","3,277,120","271,040","5,248,320",,"1,170,400","1,047,200","3,646,720","8,845,760","1,564,640","5,125,120","517,440","1,638,560","874,720",,"258,720","9,166,080","12,320","628,320","123,200","295,680","110,880","3,141,600","5,285,280",,"1,835,680","5,876,640","899,360","468,160","1,774,080"
21.02.2020,11:00,Auction 3. Period DE,T3PA,successful,25.15,24.45,26.00,25.12,25.12,"2,363,000","4,871,500",98,35,4.45,"49,709","221,432","349,114","147,688","188,658",2.06,22,16,"59,429,450",DE,,,,,,"59,429,450",,,,,,,,,,,,,,,,,,,,,,,,,
20.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.50,25.01,28.75,25.63,25.43,"2,717,500","5,093,000",108,37,4.50,"47,157","212,208","283,898","169,844","210,575",1.87,24,16,"69,296,250",EU,"1,351,500","2,639,250","3,391,500","280,500","5,431,500",,"1,211,250","1,083,750","3,774,000","9,154,500","1,619,250","5,304,000","535,500","1,695,750","905,250",,"267,750","9,486,000","12,750","650,250","127,500","306,000","114,750","3,251,250","5,469,750",,"1,899,750","6,081,750","930,750","484,500","1,836,000"
18.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.80,24.11,28.75,25.03,24.73,"2,717,500","5,079,000",94,39,3.92,"54,032","211,625","290,816","159,853","191,020",1.87,24,17,"67,394,000",EU,"1,314,400","2,566,800","3,298,400","272,800","5,282,400",,"1,178,000","1,054,000","3,670,400","8,903,200","1,574,800","5,158,400","520,800","1,649,200","880,400",,"260,400","9,225,600","12,400","632,400","124,000","297,600","111,600","3,162,000","5,319,600",,"1,847,600","5,914,800","905,200","471,200","1,785,600"
17.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.11,21.00,26.55,24.12,24.07,"2,717,500","5,271,500",97,36,3.59,"54,345","195,241","273,204","143,026","191,374",1.94,27,19,"65,518,925",EU,"1,277,830","2,495,385","3,206,630","265,210","5,135,430",,"1,145,225","1,024,675","3,568,280","8,655,490","1,530,985","5,014,880","506,310","1,603,315","855,905",,"253,155","8,968,920","12,055","614,805","120,550","289,320","108,495","3,074,025","5,171,595",,"1,796,195","5,750,235","880,015","458,090","1,735,920"
14.02.2020,11:00,Auction 3. Period DE,T3PA,successful,24.27,21.00,28.00,24.21,24.18,"2,363,000","5,701,000",94,24,4.27,"60,649","259,136","302,079","181,769","222,650",2.41,22,13,"57,350,010",DE,,,,,,"57,350,010",,,,,,,,,,,,,,,,,,,,,,,,,
13.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.52,21.00,29.80,23.97,23.50,"2,717,500","6,832,000",101,44,4.04,"67,644","273,280","428,169","135,875","243,644",2.51,25,20,"63,915,600",EU,"1,246,560","2,434,320","3,128,160","258,720","5,009,760",,"1,117,200","999,600","3,480,960","8,443,680","1,493,520","4,892,160","493,920","1,564,080","834,960",,"246,960","8,749,440","11,760","599,760","117,600","282,240","105,840","2,998,800","5,045,040",,"1,752,240","5,609,520","858,480","446,880","1,693,440"
12.02.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,23.35,22.75,30.55,24.15,23.17,"5,332,000","12,899,500",110,33,5.50,"117,268","644,975","853,888","592,444","486,895",2.42,20,9,"124,502,200",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"124,502,200",,,,,
11.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.15,22.71,30.00,23.51,23.14,"2,717,500","6,105,000",89,41,3.71,"68,596","254,375","378,390","123,523","129,794",2.25,24,22,"62,910,125",EU,"1,226,950","2,396,025","3,078,950","254,650","4,930,950",,"1,099,625","983,875","3,426,200","8,310,850","1,470,025","4,815,200","486,150","1,539,475","821,825",,"243,075","8,611,800","11,575","590,325","115,750","277,800","104,175","2,951,625","4,965,675",,"1,724,675","5,521,275","844,975","439,850","1,666,800"
10.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,22.91,21.00,30.00,23.49,22.88,"2,717,500","7,666,000",97,42,3.59,"79,031","283,926","402,158","129,405","155,647",2.82,27,21,"62,257,925",EU,"1,214,230","2,371,185","3,047,030","252,010","4,879,830",,"1,088,225","973,675","3,390,680","8,224,690","1,454,785","4,765,280","481,110","1,523,515","813,305",,"240,555","8,522,520","11,455","584,205","114,550","274,920","103,095","2,921,025","4,914,195",,"1,706,795","5,464,035","836,215","435,290","1,649,520"
07.02.2020,11:00,Auction 3. Period DE,T3PA,successful,23.17,21.00,30.00,23.52,23.15,"2,363,000","5,347,500",109,45,3.89,"49,060","190,982","238,079","102,739","111,994",2.26,28,23,"54,750,710",DE,,,,,,"54,750,710",,,,,,,,,,,,,,,,,,,,,,,,,
06.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.40,21.00,28.50,23.70,23.36,"2,717,500","5,482,000",114,46,3.68,"48,088","176,839","243,136","108,700","120,048",2.02,31,25,"63,589,500",EU,"1,240,200","2,421,900","3,112,200","257,400","4,984,200",,"1,111,500","994,500","3,463,200","8,400,600","1,485,900","4,867,200","491,400","1,556,100","830,700",,"245,700","8,704,800","11,700","596,700","117,000","280,800","105,300","2,983,500","5,019,300",,"1,743,300","5,580,900","854,100","444,600","1,684,800"
04.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.33,22.70,28.00,23.40,23.19,"2,717,500","6,468,500",114,26,4.07,"56,741","231,018","315,692","150,972","146,387",2.38,28,18,"63,399,275",EU,"1,236,490","2,414,655","3,102,890","256,630","4,969,290",,"1,108,175","991,525","3,452,840","8,375,470","1,481,455","4,852,640","489,930","1,551,445","828,215",,"244,965","8,678,760","11,665","594,915","116,650","279,960","104,985","2,974,575","5,004,285",,"1,738,085","5,564,205","851,545","443,270","1,679,760"
03.02.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.20,22.70,28.00,23.37,23.18,"2,717,500","5,513,500",105,44,3.89,"52,510","204,204","239,034","113,229","124,443",2.03,27,24,"63,046,000",EU,"1,229,600","2,401,200","3,085,600","255,200","4,941,600",,"1,102,000","986,000","3,433,600","8,328,800","1,473,200","4,825,600","487,200","1,542,800","823,600",,"243,600","8,630,400","11,600","591,600","116,000","278,400","104,400","2,958,000","4,976,400",,"1,728,400","5,533,200","846,800","440,800","1,670,400"
31.01.2020,11:00,Auction 3. Period DE,T3PA,successful,23.48,21.00,28.00,23.69,23.50,"2,363,000","4,686,500",89,47,3.30,"52,657","173,574","278,369","102,739","133,315",1.98,27,23,"55,483,240",DE,,,,,,"55,483,240",,,,,,,,,,,,,,,,,,,,,,,,,
30.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.74,23.16,28.00,23.77,23.66,"2,717,500","5,634,000",85,29,3.04,"66,282","201,214","254,742","123,523","147,902",2.07,28,22,"64,513,450",EU,"1,258,220","2,457,090","3,157,420","261,140","5,056,620",,"1,127,650","1,008,950","3,513,520","8,522,660","1,507,490","4,937,920","498,540","1,578,710","842,770",,"249,270","8,831,280","11,870","605,370","118,700","284,880","106,830","3,026,850","5,092,230",,"1,768,630","5,661,990","866,510","451,060","1,709,280"
29.01.2020,11:01,Auction 3. Period CAP2-PL,T3PA,successful,24.04,21.00,28.00,24.36,24.24,"5,332,000","6,415,000",81,70,3.24,"79,198","256,600","375,143","222,167","291,506",1.20,25,24,"128,181,280",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"128,181,280",,,,,
28.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.55,23.93,28.40,24.68,24.38,"2,717,500","5,561,000",88,23,3.26,"63,193","205,963","282,986","181,167","234,060",2.05,27,15,"66,714,625",EU,"1,301,150","2,540,925","3,265,150","270,050","5,229,150",,"1,166,125","1,043,375","3,633,400","8,813,450","1,558,925","5,106,400","515,550","1,632,575","871,525",,"257,775","9,132,600","12,275","626,025","122,750","294,600","110,475","3,130,125","5,265,975",,"1,828,975","5,855,175","896,075","466,450","1,767,600"
27.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.04,21.00,28.00,24.10,23.96,"2,717,500","5,558,000",99,29,3.41,"56,141","191,655","204,144","129,405","121,538",2.05,29,21,"65,328,700",EU,"1,274,120","2,488,140","3,197,320","264,440","5,120,520",,"1,141,900","1,021,700","3,557,920","8,630,360","1,526,540","5,000,320","504,840","1,598,660","853,420",,"252,420","8,942,880","12,020","613,020","120,200","288,480","108,180","3,065,100","5,156,580",,"1,790,980","5,733,540","877,460","456,760","1,730,880"
24.01.2020,11:00,Auction 3. Period DE,T3PA,successful,24.48,23.90,28.00,24.68,24.46,"2,363,000","4,684,500",83,40,3.95,"56,440","223,071","286,097","118,150","115,687",1.98,21,20,"57,846,240",DE,,,,,,"57,846,240",,,,,,,,,,,,,,,,,,,,,,,,,
23.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.65,24.00,28.00,24.89,24.55,"2,717,500","5,051,000",109,41,3.76,"46,339","174,172","206,882","118,152","101,121",1.86,29,23,"66,986,375",EU,"1,306,450","2,551,275","3,278,450","271,150","5,250,450",,"1,170,875","1,047,625","3,648,200","8,849,350","1,565,275","5,127,200","517,650","1,639,225","875,075",,"258,825","9,169,800","12,325","628,575","123,250","295,800","110,925","3,142,875","5,287,425",,"1,836,425","5,879,025","899,725","468,350","1,774,800"
21.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.10,24.40,27.00,25.25,25.10,"2,717,500","4,855,500",103,49,4.12,"47,141","194,220","229,571","113,229","113,469",1.79,25,24,"68,209,250",EU,"1,330,300","2,597,850","3,338,300","276,100","5,346,300",,"1,192,250","1,066,750","3,714,800","9,010,900","1,593,850","5,220,800","527,100","1,669,150","891,050",,"263,550","9,337,200","12,550","640,050","125,500","301,200","112,950","3,200,250","5,383,950",,"1,869,950","5,986,350","916,150","476,900","1,807,200"
20.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,25.60,21.00,27.50,25.77,25.67,"2,717,500","4,293,000",95,67,3.96,"45,189","178,875","236,463","123,523","117,292",1.58,24,22,"69,568,000",EU,"1,356,800","2,649,600","3,404,800","281,600","5,452,800",,"1,216,000","1,088,000","3,788,800","9,190,400","1,625,600","5,324,800","537,600","1,702,400","908,800",,"268,800","9,523,200","12,800","652,800","128,000","307,200","115,200","3,264,000","5,491,200",,"1,907,200","6,105,600","934,400","486,400","1,843,200"
17.01.2020,11:00,Auction 3. Period DE,T3PA,successful,25.01,21.00,28.00,24.91,24.81,"2,363,000","5,888,000",93,18,4.04,"63,312","256,000","297,729","196,917","214,087",2.49,23,12,"59,098,630",DE,,,,,,"59,098,630",,,,,,,,,,,,,,,,,,,,,,,,,
16.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.85,21.00,27.05,25.03,24.72,"2,717,500","5,649,500",111,39,3.83,"50,896","194,810","236,923","150,972","143,064",2.08,29,18,"67,529,875",EU,"1,317,050","2,571,975","3,305,050","273,350","5,293,050",,"1,180,375","1,056,125","3,677,800","8,921,150","1,577,975","5,168,800","521,850","1,652,525","882,175",,"260,925","9,244,200","12,425","633,675","124,250","298,200","111,825","3,168,375","5,330,325",,"1,851,325","5,926,725","907,025","472,150","1,789,200"
15.01.2020,15:00,EUAA Auction CAP2-EU,EAA3,successful,24.08,23.21,24.30,23.90,23.91,"810,500","3,150,500",52,12,6.50,"60,587","393,813","290,528","202,625","126,800",3.89,8,4,"19,516,840",EU,"433,440","493,640","168,560","264,880","216,720",,"493,640","24,080","915,040","2,985,920","385,280","2,227,400","108,360","180,600","397,320",,"481,600","2,636,760",0,"48,160","48,160","96,320","108,360","674,240","4,587,240",,"529,760","288,960","662,200","24,080","36,120"
15.01.2020,11:00,Auction 3. Period CAP2-PL,T3PA,successful,24.20,23.52,28.00,24.21,24.03,"5,332,000","9,376,500",107,30,4.12,"87,631","360,635","548,981","380,857","418,404",1.76,26,14,"129,034,400",PL,,,,,,,,,,,,,,,,,,,,,,,,,,"129,034,400",,,,,
14.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,23.74,21.00,26.00,23.69,23.65,"2,717,500","5,334,500",106,32,4.08,"50,325","205,173","257,703","143,026","202,274",1.96,26,19,"64,513,450",EU,"1,258,220","2,457,090","3,157,420","261,140","5,056,620",,"1,127,650","1,008,950","3,513,520","8,522,660","1,507,490","4,937,920","498,540","1,578,710","842,770",,"249,270","8,831,280","11,870","605,370","118,700","284,880","106,830","3,026,850","5,092,230",,"1,768,630","5,661,990","866,510","451,060","1,709,280"
13.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.03,23.31,27.00,23.97,23.91,"2,717,500","6,021,000",108,23,4.00,"55,750","223,000","257,222","150,972","178,545",2.22,27,18,"65,301,525",EU,"1,273,590","2,487,105","3,195,990","264,330","5,118,390",,"1,141,425","1,021,275","3,556,440","8,626,770","1,525,905","4,998,240","504,630","1,597,995","853,065",,"252,315","8,939,160","12,015","612,765","120,150","288,360","108,135","3,063,825","5,154,435",,"1,790,235","5,731,155","877,095","456,570","1,730,160"
10.01.2020,11:00,Auction 3. Period DE,T3PA,successful,24.48,21.00,27.00,24.45,24.47,"2,363,000","4,342,500",87,38,3.22,"49,914","160,833","202,111","112,524","129,291",1.84,27,21,"57,846,240",DE,,,,,,"57,846,240",,,,,,,,,,,,,,,,,,,,,,,,,
09.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.01,21.00,27.00,24.06,24.01,"2,717,500","5,076,000",102,50,3.64,"49,765","181,286","244,702","113,229","107,022",1.87,28,24,"65,247,175",EU,"1,272,530","2,485,035","3,193,330","264,110","5,114,130",,"1,140,475","1,020,425","3,553,480","8,619,590","1,524,635","4,994,080","504,210","1,596,665","852,355",,"252,105","8,931,720","12,005","612,255","120,050","288,120","108,045","3,061,275","5,150,145",,"1,788,745","5,726,385","876,365","456,190","1,728,720"
07.01.2020,11:00,Auction 3. Period CAP2-EU,T3PA,successful,24.06,23.61,26.00,24.23,24.15,"2,717,500","4,118,000",72,54,3.00,"57,194","171,583","230,941","118,152","117,554",1.52,24,23,"65,383,050",EU,"1,275,180","2,490,210","3,199,980","264,660","5,124,780",,"1,142,850","1,022,550","3,560,880","8,637,540","1,527,810","5,004,480","505,260","1,599,990","854,130",,"252,630","8,950,320","12,030","613,530","120,300","288,720","108,270","3,067,650","5,160,870",,"1,792,470","5,738,310","878,190","457,140","1,732,320"
