,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,https://www.eex.com/en/markets/environmental-markets/emissions-auctions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,43.99,39.00,45.70,44.04,43.98,"3,288,500","5,207,000",95,47,3.65,"54,811","200,269","338,763","164,425","298,917",1.58,26,20,"144,661,115",EU,"2,331,470","4,003,090","6,004,635","549,875","4,706,930",,"2,177,505","1,803,590","7,390,320","18,123,880","3,057,305","10,821,540","813,815","3,079,300","1,143,740","14,010,815","21,995","18,695,750",0,"615,860","65,985","417,905","24,304,475","197,955","6,620,495","1,319,700",,"3,739,150","4,025,085","1,605,635","945,785","2,067,530"
14.04.2021,15:00,EUAA Auction CAP3 PL,EAA3,successful,43.53,42.80,43.53,43.23,43.26,"114,000","508,000",25,2,3.57,"20,320","72,571","48,341","57,000","44,000",4.46,7,2,"4,962,420",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,962,420",,,,,
14.04.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,43.90,33.80,45.50,43.78,43.84,"2,575,000","4,830,500",91,40,3.64,"53,082","193,220","287,362","151,471","239,176",1.88,25,17,"113,042,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"113,042,500",,,,,
13.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,44.10,43.00,45.90,44.05,43.99,"3,288,500","5,041,500",88,29,3.38,"57,290","193,904","302,367","219,233","326,988",1.53,26,15,"145,022,850",EU,"2,337,300","4,013,100","6,019,650","551,250","4,718,700",,"2,182,950","1,808,100","7,408,800","18,169,200","3,064,950","10,848,600","815,850","3,087,000","1,146,600","14,045,850","22,050","18,742,500",0,"617,400","66,150","418,950","24,365,250","198,450","6,637,050","1,323,000",,"3,748,500","4,035,150","1,609,650","948,150","2,072,700"
12.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,43.86,43.00,50.00,43.73,43.60,"3,288,500","6,103,000",108,27,3.72,"56,509","210,448","356,983","182,694","270,191",1.86,29,18,"144,233,610",EU,"2,324,580","3,991,260","5,986,890","548,250","4,693,020",,"2,171,070","1,798,260","7,368,480","18,070,320","3,048,270","10,789,560","811,410","3,070,200","1,140,360","13,969,410","21,930","18,640,500",0,"614,040","65,790","416,670","24,232,650","197,370","6,600,930","1,315,800",,"3,728,100","4,013,190","1,600,890","942,990","2,061,420"
09.04.2021,11:00,Auction 4. Period DE,T3PA,successful,43.18,42.50,45.00,43.17,43.08,"2,651,000","4,128,000",91,37,3.37,"45,363","152,889","211,063","126,238","201,741",1.56,27,21,"114,470,180",DE,,,,,,"114,470,180",,,,,,,,,,,,,,,,,,,,,,,,,,
08.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,43.45,40.00,46.00,43.32,43.22,"3,288,500","6,080,500",101,25,3.88,"60,203","233,865","337,859","219,233","242,976",1.85,26,15,"142,885,325",EU,"2,302,850","3,953,950","5,930,925","543,125","4,649,150",,"2,150,775","1,781,450","7,299,600","17,901,400","3,019,775","10,688,700","803,825","3,041,500","1,129,700","13,838,825","21,725","18,466,250",0,"608,300","65,175","412,775","24,006,125","195,525","6,539,225","1,303,500",,"3,693,250","3,975,675","1,585,925","934,175","2,042,150"
07.04.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,43.63,40.00,44.80,43.63,43.62,"2,575,000","4,587,000",85,42,3.86,"53,965","208,500","294,835","143,056","212,359",1.78,22,18,"112,347,250",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"112,347,250",,,,,
06.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,43.05,40.00,45.00,42.83,42.72,"3,288,500","6,185,500",98,24,3.63,"63,117","229,093","414,129","298,955","394,235",1.88,27,11,"141,569,925",EU,"2,281,650","3,917,550","5,876,325","538,125","4,606,350",,"2,130,975","1,765,050","7,232,400","17,736,600","2,991,975","10,590,300","796,425","3,013,500","1,119,300","13,711,425","21,525","18,296,250",0,"602,700","64,575","408,975","23,785,125","193,725","6,479,025","1,291,500",,"3,659,250","3,939,075","1,571,325","925,575","2,023,350"
01.04.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,42.04,39.97,43.75,42.14,42.08,"3,288,500","4,771,500",89,49,3.42,"53,612","183,519","326,898","156,595","309,345",1.45,26,21,"138,248,540",EU,"2,228,120","3,825,640","5,738,460","525,500","4,498,280",,"2,080,980","1,723,640","7,062,720","17,320,480","2,921,780","10,341,840","777,740","2,942,800","1,093,040","13,389,740","21,020","17,867,000",0,"588,560","63,060","399,380","23,227,100","189,180","6,327,020","1,261,200",,"3,573,400","3,846,660","1,534,460","903,860","1,975,880"
31.03.2021,11:01,Auction 4. Period CAP3 PL,T3PA,successful,42.26,40.00,44.00,42.34,42.30,"2,575,000","3,445,500",62,37,2.82,"55,573","156,614","218,948","143,056","204,822",1.34,22,18,"108,819,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"108,819,500",,,,,
30.03.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,42.25,40.00,44.50,42.26,42.12,"3,288,500","5,217,500",89,33,3.56,"58,624","208,700","318,511","274,042","295,095",1.59,25,12,"138,939,125",EU,"2,239,250","3,844,750","5,767,125","528,125","4,520,750",,"2,091,375","1,732,250","7,098,000","17,407,000","2,936,375","10,393,500","781,625","2,957,500","1,098,500","13,456,625","21,125","17,956,250",0,"591,500","63,375","401,375","23,343,125","190,125","6,358,625","1,267,500",,"3,591,250","3,865,875","1,542,125","908,375","1,985,750"
29.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,40.71,39.00,44.00,40.82,40.67,"3,288,500","5,112,500",89,41,3.56,"57,444","204,500","372,510","182,694","277,320",1.55,25,18,"133,874,835",EU,"2,157,630","3,704,610","5,556,915","508,875","4,355,970",,"2,015,145","1,669,110","6,839,280","16,772,520","2,829,345","10,014,660","753,135","2,849,700","1,058,460","12,966,135","20,355","17,301,750",0,"569,940","61,065","386,745","22,492,275","183,195","6,126,855","1,221,300",,"3,460,350","3,724,965","1,485,915","875,265","1,913,370"
26.03.2021,11:00,Auction 4. Period DE,T3PA,successful,40.86,29.01,44.00,40.86,40.90,"2,651,000","4,354,000",80,45,3.33,"54,425","181,417","294,924","126,238","239,938",1.64,24,21,"108,319,860",DE,,,,,,"108,319,860",,,,,,,,,,,,,,,,,,,,,,,,,,
25.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,40.69,39.91,44.00,40.76,40.59,"3,290,000","5,275,000",88,30,3.52,"59,943","211,000","339,427","219,333","315,604",1.60,25,15,"133,870,100",EU,"2,156,570","3,702,790","5,554,185","508,625","4,353,830",,"2,014,155","1,668,290","6,835,920","16,764,280","2,827,955","10,009,740","752,765","2,848,300","1,057,940","12,959,765","20,345","17,293,250","61,035","569,660","61,035","386,555","22,481,225","183,105","6,123,845","1,220,700",,"3,458,650","3,723,135","1,485,185","874,835","1,912,430"
24.03.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,40.94,40.11,44.00,40.99,40.86,"2,575,000","5,004,000",87,36,3.78,"57,517","217,565","330,537","143,056","249,445",1.94,23,18,"105,420,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,420,500",,,,,
23.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,41.77,40.76,44.00,41.81,41.71,"3,288,500","5,449,000",85,34,3.54,"64,106","227,042","388,052","193,441","292,280",1.66,24,17,"137,360,645",EU,"2,213,810","3,801,070","5,701,605","522,125","4,469,390",,"2,067,615","1,712,570","7,017,360","17,209,240","2,903,015","10,275,420","772,745","2,923,900","1,086,020","13,303,745","20,885","17,752,250",0,"584,780","62,655","396,815","23,077,925","187,965","6,286,385","1,253,100",,"3,550,450","3,821,955","1,524,605","898,055","1,963,190"
22.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,41.80,40.31,44.01,41.83,41.73,"3,288,500","5,581,500",84,32,3.82,"66,446","253,705","441,112","205,531","285,642",1.70,22,16,"137,459,300",EU,"2,215,400","3,803,800","5,705,700","522,500","4,472,600",,"2,069,100","1,713,800","7,022,400","17,221,600","2,905,100","10,282,800","773,300","2,926,000","1,086,800","13,313,300","20,900","17,765,000",0,"585,200","62,700","397,100","23,094,500","188,100","6,290,900","1,254,000",,"3,553,000","3,824,700","1,525,700","898,700","1,964,600"
19.03.2021,11:00,Auction 4. Period DE,T3PA,successful,41.91,37.00,44.00,41.96,41.96,"2,651,000","3,819,000",70,44,3.50,"54,557","190,950","267,542","147,278","210,934",1.44,20,18,"111,103,410",DE,,,,,,"111,103,410",,,,,,,,,,,,,,,,,,,,,,,,,,
18.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,43.35,37.00,46.00,43.11,43.13,"3,288,500","6,316,000",95,30,3.80,"66,484","252,640","384,860","219,233","283,198",1.92,25,15,"142,556,475",EU,"2,297,550","3,944,850","5,917,275","541,875","4,638,450",,"2,145,825","1,777,350","7,282,800","17,860,200","3,012,825","10,664,100","801,975","3,034,500","1,127,100","13,806,975","21,675","18,423,750",0,"606,900","65,025","411,825","23,950,875","195,075","6,524,175","1,300,500",,"3,684,750","3,966,525","1,582,275","932,025","2,037,450"
17.03.2021,15:00,EUAA Auction CAP3 EU,EAA3,successful,41.90,40.97,42.40,41.68,41.81,"614,500","1,104,500",29,11,4.14,"38,086","157,786","195,077","102,417","74,683",1.80,7,6,"25,747,550",EU,"670,400","921,800","314,250","230,450","335,200",,"817,050","83,800","1,655,050","4,713,750","670,400","3,582,450","251,400","314,250","607,550",,"293,300","3,896,700",0,"146,650","104,750","167,600",,"188,550","1,361,750","1,340,800",,"1,236,050","586,600","1,173,200","41,900","41,900"
17.03.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,41.52,41.01,43.50,41.70,41.59,"2,575,000","4,365,500",76,44,3.80,"57,441","218,275","298,432","151,471","186,468",1.70,20,17,"106,914,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"106,914,000",,,,,
16.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,41.92,41.29,45.00,42.00,41.89,"3,288,500","5,594,000",97,43,3.88,"57,670","223,760","320,505","164,425","249,176",1.70,25,20,"137,853,920",EU,"2,221,760","3,814,720","5,722,080","524,000","4,485,440",,"2,075,040","1,718,720","7,042,560","17,271,040","2,913,440","10,312,320","775,520","2,934,400","1,089,920","13,351,520","20,960","17,816,000",0,"586,880","62,880","398,240","23,160,800","188,640","6,308,960","1,257,600",,"3,563,200","3,835,680","1,530,080","901,280","1,970,240"
15.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,42.84,41.96,45.00,42.85,42.76,"3,288,500","5,465,500",91,37,3.96,"60,060","237,630","301,202","182,694","207,054",1.66,23,18,"140,879,340",EU,"2,270,520","3,898,440","5,847,660","535,500","4,583,880",,"2,120,580","1,756,440","7,197,120","17,650,080","2,977,380","10,538,640","792,540","2,998,800","1,113,840","13,644,540","21,420","18,207,000",0,"599,760","64,260","406,980","23,669,100","192,780","6,447,420","1,285,200",,"3,641,400","3,919,860","1,563,660","921,060","2,013,480"
12.03.2021,11:00,Auction 4. Period DE,T3PA,successful,41.52,37.00,44.00,41.45,41.44,"2,651,000","5,421,000",79,29,3.43,"68,620","235,696","313,580","155,941","244,564",2.04,23,17,"110,069,520",DE,,,,,,"110,069,520",,,,,,,,,,,,,,,,,,,,,,,,,,
11.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,40.92,37.00,44.00,40.99,40.92,"3,288,500","5,497,000",84,43,3.65,"65,440","239,000","306,747","173,079","230,074",1.67,23,19,"134,565,420",EU,"2,168,760","3,723,720","5,585,580","511,500","4,378,440",,"2,025,540","1,677,720","6,874,560","16,859,040","2,843,940","10,066,320","757,020","2,864,400","1,063,920","13,033,020","20,460","17,391,000",0,"572,880","61,380","388,740","22,608,300","184,140","6,158,460","1,227,600",,"3,478,200","3,744,180","1,493,580","879,780","1,923,240"
10.03.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,41.00,37.00,44.00,40.93,40.92,"2,575,000","5,207,500",81,33,3.52,"64,290","226,413","274,190","151,471","164,964",2.02,23,17,"105,575,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"105,575,000",,,,,
09.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,39.40,37.00,44.00,39.31,39.23,"3,288,500","6,514,000",101,32,3.88,"64,495","250,538","343,152","205,531","259,408",1.98,26,16,"129,566,900",EU,"2,088,200","3,585,400","5,378,100","492,500","4,215,800",,"1,950,300","1,615,400","6,619,200","16,232,800","2,738,300","9,692,400","728,900","2,758,000","1,024,400","12,548,900","19,700","16,745,000",0,"551,600","59,100","374,300","21,768,500","177,300","5,929,700","1,182,000",,"3,349,000","3,605,100","1,438,100","847,100","1,851,800"
08.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,38.41,36.80,42.00,38.42,38.39,"3,288,500","5,138,500",88,41,3.38,"58,392","197,635","248,528","156,595","211,307",1.56,26,21,"126,311,285",EU,"2,035,730","3,495,310","5,242,965","480,125","4,109,870",,"1,901,295","1,574,810","6,452,880","15,824,920","2,669,495","9,448,860","710,585","2,688,700","998,660","12,233,585","19,205","16,324,250",0,"537,740","57,615","364,895","21,221,525","172,845","5,780,705","1,152,300",,"3,264,850","3,514,515","1,401,965","825,815","1,805,270"
05.03.2021,11:00,Auction 4. Period DE,T3PA,successful,38.08,36.51,39.00,38.17,38.13,"2,651,000","4,160,500",77,44,2.75,"54,032","148,589","170,972","110,458","144,287",1.57,28,24,"100,950,080",DE,,,,,,"100,950,080",,,,,,,,,,,,,,,,,,,,,,,,,,
04.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,36.90,36.01,39.00,36.93,36.85,"3,288,500","5,911,000",95,44,3.65,"62,221","227,346","302,349","156,595","176,938",1.80,26,21,"121,345,650",EU,"1,955,700","3,357,900","5,036,850","461,250","3,948,300",,"1,826,550","1,512,900","6,199,200","15,202,800","2,564,550","9,077,400","682,650","2,583,000","959,400","11,752,650","18,450","15,682,500",0,"516,600","55,350","350,550","20,387,250","166,050","5,553,450","1,107,000",,"3,136,500","3,376,350","1,346,850","793,350","1,734,300"
03.03.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,37.56,36.51,41.00,37.62,37.55,"2,575,000","4,712,500",76,37,3.04,"62,007","188,500","219,951","151,471","157,485",1.83,25,17,"96,717,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,717,000",,,,,
02.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,37.25,36.50,44.00,37.40,37.24,"3,288,500","5,143,000",97,48,3.34,"53,021","177,345","274,930","142,978","197,067",1.56,29,23,"122,496,625",EU,"1,974,250","3,389,750","5,084,625","465,625","3,985,750",,"1,843,875","1,527,250","6,258,000","15,347,000","2,588,875","9,163,500","689,125","2,607,500","968,500","11,864,125","18,625","15,831,250",0,"521,500","55,875","353,875","20,580,625","167,625","5,606,125","1,117,500",,"3,166,250","3,408,375","1,359,625","800,875","1,750,750"
01.03.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,37.66,36.51,40.00,37.62,37.52,"3,288,500","6,185,500",97,35,3.59,"63,768","229,093","300,331","173,079","205,995",1.88,27,19,"123,844,910",EU,"1,995,980","3,427,060","5,140,590","470,750","4,029,620",,"1,864,170","1,544,060","6,326,880","15,515,920","2,617,370","9,264,360","696,710","2,636,200","979,160","11,994,710","18,830","16,005,500",0,"527,240","56,490","357,770","20,807,150","169,470","5,667,830","1,129,800",,"3,201,100","3,445,890","1,374,590","809,690","1,770,020"
26.02.2021,11:00,Auction 4. Period DE,T3PA,successful,37.51,36.66,44.00,37.59,37.45,"2,651,000","4,850,500",88,36,3.38,"55,119","186,558","235,086","132,550","171,771",1.83,26,20,"99,439,010",DE,,,,,,"99,439,010",,,,,,,,,,,,,,,,,,,,,,,,,,
25.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,38.88,36.51,44.00,38.85,38.72,"3,288,500","6,563,000",104,38,3.59,"63,106","226,310","313,184","142,978","259,265",2.00,29,23,"127,856,880",EU,"2,060,640","3,538,080","5,307,120","486,000","4,160,160",,"1,924,560","1,594,080","6,531,840","16,018,560","2,702,160","9,564,480","719,280","2,721,600","1,010,880","12,383,280","19,440","16,524,000",0,"544,320","58,320","369,360","21,481,200","174,960","5,851,440","1,166,400",,"3,304,800","3,557,520","1,419,120","835,920","1,827,360"
24.02.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,38.42,36.51,44.00,38.47,38.32,"2,575,000","5,044,500",91,37,3.14,"55,434","173,948","228,482","128,750","177,362",1.96,29,20,"98,931,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,931,500",,,,,
23.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,37.50,36.01,44.00,37.55,37.41,"3,288,500","6,132,500",104,41,3.59,"58,966","211,466","260,393","149,477","186,539",1.86,29,22,"123,318,750",EU,"1,987,500","3,412,500","5,118,750","468,750","4,012,500",,"1,856,250","1,537,500","6,300,000","15,450,000","2,606,250","9,225,000","693,750","2,625,000","975,000","11,943,750","18,750","15,937,500",0,"525,000","56,250","356,250","20,718,750","168,750","5,643,750","1,125,000",,"3,187,500","3,431,250","1,368,750","806,250","1,762,500"
22.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,36.84,36.00,50.00,37.12,36.85,"3,288,500","5,522,500",106,55,3.53,"52,099","184,083","225,984","126,481","164,757",1.68,30,26,"121,148,340",EU,"1,952,520","3,352,440","5,028,660","460,500","3,941,880",,"1,823,580","1,510,440","6,189,120","15,178,080","2,560,380","9,062,640","681,540","2,578,800","957,840","11,733,540","18,420","15,657,000",0,"515,760","55,260","349,980","20,354,100","165,780","5,544,420","1,105,200",,"3,131,400","3,370,860","1,344,660","792,060","1,731,480"
19.02.2021,11:01,Auction 4. Period DE,T3PA,successful,38.36,36.80,44.00,38.56,38.30,"2,651,000","5,030,500",87,38,3.48,"57,822","201,220","254,851","139,526","188,700",1.90,25,19,"101,692,360",DE,,,,,,"101,692,360",,,,,,,,,,,,,,,,,,,,,,,,,,
18.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,38.01,0.01,40.00,37.79,38.03,"3,288,500","5,296,000",95,51,3.39,"55,747","189,143","279,988","137,021","200,954",1.61,28,24,"124,995,885",EU,"2,014,530","3,458,910","5,188,365","475,125","4,067,070",,"1,881,495","1,558,410","6,385,680","15,660,120","2,641,695","9,350,460","703,185","2,660,700","988,260","12,106,185","19,005","16,154,250",0,"532,140","57,015","361,095","21,000,525","171,045","5,720,505","1,140,300",,"3,230,850","3,477,915","1,387,365","817,215","1,786,470"
17.02.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,38.42,37.00,45.00,38.54,38.42,"2,575,000","4,700,000",88,45,3.52,"53,409","188,000","275,057","117,045","174,715",1.83,25,22,"98,931,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"98,931,500",,,,,
16.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,40.19,37.00,45.00,40.08,40.01,"3,288,500","5,995,500",117,39,4.03,"51,244","206,741","294,006","149,477","192,411",1.82,29,22,"132,164,815",EU,"2,130,070","3,657,290","5,485,935","502,375","4,300,330",,"1,989,405","1,647,790","6,751,920","16,558,280","2,793,205","9,886,740","743,515","2,813,300","1,044,940","12,800,515","20,095","17,080,750",0,"562,660","60,285","381,805","22,204,975","180,855","6,048,595","1,205,700",,"3,416,150","3,677,385","1,466,935","864,085","1,888,930"
15.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,39.82,38.25,45.00,39.69,39.60,"3,288,500","6,524,000",119,35,4.10,"54,824","224,966","326,555","156,595","249,595",1.98,29,21,"130,948,070",EU,"2,110,460","3,623,620","5,435,430","497,750","4,260,740",,"1,971,090","1,632,620","6,689,760","16,405,840","2,767,490","9,795,720","736,670","2,787,400","1,035,320","12,682,670","19,910","16,923,500",0,"557,480","59,730","378,290","22,000,550","179,190","5,992,910","1,194,600",,"3,384,700","3,643,530","1,453,430","856,130","1,871,540"
12.02.2021,11:00,Auction 4. Period DE,T3PA,successful,37.80,32.02,45.00,37.39,37.62,"2,651,000","5,535,500",112,32,3.73,"49,424","184,517","278,522","132,550","190,803",2.09,30,20,"100,207,800",DE,,,,,,"100,207,800",,,,,,,,,,,,,,,,,,,,,,,,,,
11.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,39.62,38.67,42.00,39.58,39.50,"3,288,500","6,223,000",100,36,4.17,"62,230","259,292","351,660","182,694","214,244",1.89,24,18,"130,290,370",EU,"2,099,860","3,605,420","5,408,130","495,250","4,239,340",,"1,961,190","1,624,420","6,656,160","16,323,440","2,753,590","9,746,520","732,970","2,773,400","1,030,120","12,618,970","19,810","16,838,500",0,"554,680","59,430","376,390","21,890,050","178,290","5,962,810","1,188,600",,"3,367,700","3,625,230","1,446,130","851,830","1,862,140"
10.02.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,37.70,36.50,45.00,37.76,37.60,"2,575,000","4,604,000",90,34,3.46,"51,156","177,077","234,003","135,526","205,825",1.79,26,19,"97,077,500",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,077,500",,,,,
09.02.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,37.58,36.00,45.00,37.84,37.61,"3,288,500","4,716,000",92,54,3.41,"51,261","174,667","259,262","149,477","194,555",1.43,27,22,"123,581,830",EU,"1,991,740","3,419,780","5,129,670","469,750","4,021,060",,"1,860,210","1,540,780","6,313,440","15,482,960","2,611,810","9,244,680","695,230","2,630,600","977,080","11,969,230","18,790","15,971,500",0,"526,120","56,370","357,010","20,762,950","169,110","5,655,790","1,127,400",,"3,194,300","3,438,570","1,371,670","807,970","1,766,260"
08.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,38.62,37.05,49.00,38.86,38.63,"3,288,500","5,255,000",99,52,3.67,"53,081","194,630","302,810","156,595","213,222",1.60,27,21,"127,001,870",EU,"2,046,860","3,514,420","5,271,630","482,750","4,132,340",,"1,911,690","1,583,420","6,488,160","15,911,440","2,684,090","9,500,520","714,470","2,703,400","1,004,120","12,300,470","19,310","16,413,500",0,"540,680","57,930","366,890","21,337,550","173,790","5,812,310","1,158,600",,"3,282,700","3,533,730","1,409,630","830,330","1,815,140"
05.02.2021,11:00,Auction 4. Period DE,T3PA,successful,37.61,34.00,41.00,37.76,37.66,"2,651,000","4,492,000",90,52,3.75,"49,911","187,167","318,361","126,238","169,627",1.69,24,21,"99,704,110",DE,,,,,,"99,704,110",,,,,,,,,,,,,,,,,,,,,,,,,,
04.02.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,36.51,33.50,50.00,37.14,36.96,"3,288,500","4,537,000",71,60,3.23,"63,901","206,227","338,471","156,595","174,760",1.38,22,21,"120,063,135",EU,"1,935,030","3,322,410","4,983,615","456,375","3,906,570",,"1,807,245","1,496,910","6,133,680","15,042,120","2,537,445","8,981,460","675,435","2,555,700","949,260","11,628,435","18,255","15,516,750",0,"511,140","54,765","346,845","20,171,775","164,295","5,494,755","1,095,300",,"3,103,350","3,340,665","1,332,615","784,965","1,715,970"
03.02.2021,11:00,Auction 4. Period CAP3 PL,T3PA,successful,38.00,34.00,50.00,36.45,36.13,"2,575,000","4,907,000",70,7,3.33,"70,100","233,667","369,372","515,000","487,444",1.91,21,5,"97,850,000",PL,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,850,000",,,,,
02.02.2021,11:01,Auction 4. Period CAP3 EU,T3PA,successful,33.20,31.80,35.00,33.11,32.99,"3,288,500","5,228,500",80,24,3.20,"65,356","209,140","386,763","219,233","385,576",1.59,25,15,"109,178,200",EU,"1,759,600","3,021,200","4,531,800","415,000","3,552,400",,"1,643,400","1,361,200","5,577,600","13,678,400","2,307,400","8,167,200","614,200","2,324,000","863,200","10,574,200","16,600","14,110,000",0,"464,800","49,800","315,400","18,343,000","149,400","4,996,600","996,000",,"2,822,000","3,037,800","1,211,800","713,800","1,560,400"
01.02.2021,11:00,Auction 4. Period CAP3 EU,T3PA,successful,32.66,31.50,35.50,32.81,32.61,"3,288,500","4,779,500",82,37,3.15,"58,287","183,827","333,090","149,477","298,013",1.45,26,22,"107,402,410",EU,"1,730,980","2,972,060","4,458,090","408,250","3,494,620",,"1,616,670","1,339,060","5,486,880","13,455,920","2,269,870","8,034,360","604,210","2,286,200","849,160","10,402,210","16,330","13,880,500",0,"457,240","48,990","310,270","18,044,650","146,970","4,915,330","979,800",,"2,776,100","2,988,390","1,192,090","702,190","1,535,020"
29.01.2021,11:00,Auction 4. Period DE,T3PA,successful,33.51,32.40,35.00,33.54,33.42,"2,651,000","4,208,000",89,37,3.30,"47,281","155,852","313,129","139,526","315,583",1.59,27,19,"88,835,010",DE,,,,,,"88,835,010",,,,,,,,,,,,,,,,,,,,,,,,,,
