,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More information,,www.eex.com/en/products/environmental-markets/emissions-auctions/overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,EEX Emissions market / Primary Market Auction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,20.90,13.00,30.00,20.52,20.71,"2,495,000","5,359,500",77,22,2.96,"69,604","206,135","222,391","155,938","184,407",2.15,26,16,"52,145,500",EU,"1,128,600","2,215,400","2,758,800","146,300","3,950,100",,"1,013,650","888,250","3,166,350","7,701,650","1,358,500","4,472,600","449,350","1,421,200","762,850",,"7,983,800",,"522,500","104,500","261,250","94,050","2,737,900",,,"1,588,400","4,702,500","773,300","407,550","1,536,150",
27.02.2019,11:00,Auction 3. Period CAP2-PL,T3PA,20.31,5.00,23.00,19.75,20.40,"4,428,500","7,262,500",59,37,2.81,"123,093","345,833","376,154","260,500","350,071",1.64,21,17,"89,942,835",PL,,,,,,,,,,,,,,,,,,,,,,,,,"89,942,835",,,,,,
26.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,19.60,8.00,30.00,19.15,19.39,"2,495,000","7,708,500",80,20,2.96,"96,356","285,500","446,698","155,938","163,601",3.09,27,16,"48,902,000",EU,"1,058,400","2,077,600","2,587,200","137,200","3,704,400",,"950,600","833,000","2,969,400","7,222,600","1,274,000","4,194,400","421,400","1,332,800","715,400",,"7,487,200",,"490,000","98,000","245,000","88,200","2,567,600",,,"1,489,600","4,410,000","725,200","382,200","1,440,600",
25.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,18.62,13.00,30.00,18.51,18.50,"2,495,000","6,033,500",76,25,2.81,"79,388","223,463","284,114","138,611","193,967",2.42,27,18,"46,456,900",EU,"1,005,480","1,973,720","2,457,840","130,340","3,519,180",,"903,070","791,350","2,820,930","6,861,470","1,210,300","3,984,680","400,330","1,266,160","679,630",,"7,112,840",,"465,500","93,100","232,750","83,790","2,439,220",,,"1,415,120","4,189,500","688,940","363,090","1,368,570",
22.02.2019,11:00,Auction 3. Period DE,T3PA,18.35,13.50,30.00,18.42,18.33,"3,209,000","6,307,000",88,42,3.38,"71,670","242,577","248,701","139,522","138,379",1.97,26,23,"58,885,150",DE,,,,,,"58,885,150",,,,,,,,,,,,,,,,,,,,,,,,,
21.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,19.85,16.00,30.00,19.97,19.81,"2,495,000","7,611,500",102,40,3.52,"74,623","262,466","479,847","108,478","125,571",3.05,29,23,"49,525,750",EU,"1,071,900","2,104,100","2,620,200","138,950","3,751,650",,"962,725","843,625","3,007,275","7,314,725","1,290,250","4,247,900","426,775","1,349,800","724,525",,"7,582,700",,"496,250","99,250","248,125","89,325","2,600,350",,,"1,508,600","4,466,250","734,450","387,075","1,458,975",
19.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,20.26,18.00,30.00,20.36,20.17,"2,495,000","7,700,500",86,34,3.07,"89,541","275,018","447,985","103,958","133,867",3.09,28,24,"50,548,700",EU,"1,094,040","2,147,560","2,674,320","141,820","3,829,140",,"982,610","861,050","3,069,390","7,465,810","1,316,900","4,335,640","435,590","1,377,680","739,490",,"7,739,320",,"506,500","101,300","253,250","91,170","2,654,060",,,"1,539,760","4,558,500","749,620","395,070","1,489,110",
18.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,20.14,13.00,25.00,19.78,20.00,"2,495,000","6,886,000",85,27,3.27,"81,012","264,846","285,867","124,750","107,935",2.76,26,20,"50,249,300",EU,"1,087,560","2,134,840","2,658,480","140,980","3,806,460",,"976,790","855,950","3,051,210","7,421,590","1,309,100","4,309,960","433,010","1,369,520","735,110",,"7,693,480",,"503,500","100,700","251,750","90,630","2,638,340",,,"1,530,640","4,531,500","745,180","392,730","1,480,290",
15.02.2019,11:00,Auction 3. Period DE,T3PA,19.99,13.00,25.00,19.66,19.84,"3,209,000","5,913,500",86,32,3.19,"68,762","219,019","229,785","178,278","204,645",1.84,27,18,"64,147,910",DE,,,,,,"64,147,910",,,,,,,,,,,,,,,,,,,,,,,,,
14.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,20.86,13.00,26.00,20.52,20.71,"2,495,000","6,360,000",85,28,3.04,"74,824","227,143","238,495","131,316","126,066",2.55,28,19,"52,045,700",EU,"1,126,440","2,211,160","2,753,520","146,020","3,942,540",,"1,011,710","886,550","3,160,290","7,686,910","1,355,900","4,464,040","448,490","1,418,480","761,390",,"7,968,520",,"521,500","104,300","260,750","93,870","2,732,660",,,"1,585,360","4,693,500","771,820","406,770","1,533,210",
13.02.2019,11:00,Auction 3. Period CAP2-PL,T3PA,20.01,13.00,25.25,19.89,20.06,"4,428,500","6,954,500",99,60,3.67,"70,247","257,574","262,060","192,543","189,258",1.57,27,23,"88,614,285",PL,,,,,,,,,,,,,,,,,,,,,,,,,"88,614,285",,,,,,
12.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.71,13.00,30.00,21.59,21.60,"2,495,000","5,631,500",87,29,3.00,"64,730","194,190","197,270","124,750","146,829",2.26,29,20,"54,166,450",EU,"1,172,340","2,301,260","2,865,720","151,970","4,103,190",,"1,052,935","922,675","3,289,065","8,000,135","1,411,150","4,645,940","466,765","1,476,280","792,415",,"8,293,220",,"542,750","108,550","271,375","97,695","2,844,010",,,"1,649,960","4,884,750","803,270","423,345","1,595,685",
11.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.80,13.00,30.00,21.61,21.77,"2,495,000","4,508,000",89,39,3.18,"50,652","161,000","174,260","113,409","122,419",1.81,28,22,"54,391,000",EU,"1,177,200","2,310,800","2,877,600","152,600","4,120,200",,"1,057,300","926,500","3,302,700","8,033,300","1,417,000","4,665,200","468,700","1,482,400","795,700",,"8,327,600",,"545,000","109,000","272,500","98,100","2,855,800",,,"1,656,800","4,905,000","806,600","425,100","1,602,300",
08.02.2019,11:00,Auction 3. Period DE,T3PA,23.28,19.58,30.00,23.49,23.32,"3,209,000","4,977,000",94,56,3.62,"52,947","191,423","180,669","139,522","140,338",1.55,26,23,"74,705,520",DE,,,,,,"74,705,520",,,,,,,,,,,,,,,,,,,,,,,,,
07.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.80,13.00,30.00,23.22,23.69,"2,495,000","6,086,000",86,34,3.31,"70,767","234,077","312,964","113,409","168,532",2.44,26,22,"59,381,000",EU,"1,285,200","2,522,800","3,141,600","166,600","4,498,200",,"1,154,300","1,011,500","3,605,700","8,770,300","1,547,000","5,093,200","511,700","1,618,400","868,700",,"9,091,600",,"595,000","119,000","297,500","107,100","3,117,800",,,"1,808,800","5,355,000","880,600","464,100","1,749,300",
05.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.93,13.00,30.00,22.49,22.76,"2,495,000","5,152,000",86,25,3.44,"59,907","206,080","243,799","138,611","167,390",2.06,25,18,"57,210,350",EU,"1,238,220","2,430,580","3,026,760","160,510","4,333,770",,"1,112,105","974,525","3,473,895","8,449,705","1,490,450","4,907,020","492,995","1,559,240","836,945",,"8,759,260",,"573,250","114,650","286,625","103,185","3,003,830",,,"1,742,680","5,159,250","848,410","447,135","1,685,355",
04.02.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.38,13.00,30.00,21.21,21.26,"2,495,000","6,482,000",105,35,3.89,"61,733","240,074","313,849","118,810","162,564",2.60,27,21,"53,343,100",EU,"1,154,520","2,266,280","2,822,160","149,660","4,040,820",,"1,036,930","908,650","3,239,070","7,878,530","1,389,700","4,575,320","459,670","1,453,840","780,370",,"8,167,160",,"534,500","106,900","267,250","96,210","2,800,780",,,"1,624,880","4,810,500","791,060","416,910","1,571,430",
01.02.2019,11:00,Auction 3. Period DE,T3PA,21.38,13.00,30.00,21.24,21.37,"3,209,000","9,213,000",101,49,3.37,"91,218","307,100","504,918","128,360","139,222",2.87,30,25,"68,608,420",DE,,,,,,"68,608,420",,,,,,,,,,,,,,,,,,,,,,,,,
31.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.30,13.00,30.00,21.97,22.25,"2,495,000","5,707,000",84,33,2.90,"67,940","196,793","216,089","103,958","117,541",2.29,29,24,"55,638,500",EU,"1,204,200","2,363,800","2,943,600","156,100","4,214,700",,"1,081,550","947,750","3,378,450","8,217,550","1,449,500","4,772,200","479,450","1,516,400","813,950",,"8,518,600",,"557,500","111,500","278,750","100,350","2,921,300",,,"1,694,800","5,017,500","825,100","434,850","1,639,050",
30.01.2019,11:00,Auction 3. Period CAP2-PL,T3PA,22.91,12.00,28.10,22.40,22.86,"4,428,500","9,436,000",94,34,3.36,"100,383","337,000","370,428","210,881","288,193",2.13,28,21,"101,456,935",PL,,,,,,,,,,,,,,,,,,,,,,,,,"101,456,935",,,,,,
29.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.43,13.00,30.00,22.08,22.31,"2,495,000","5,526,000",84,29,2.80,"65,786","184,200","192,287","118,810","131,119",2.21,30,21,"55,962,850",EU,"1,211,220","2,377,580","2,960,760","157,010","4,239,270",,"1,087,855","953,275","3,398,145","8,265,455","1,457,950","4,800,020","482,245","1,525,240","818,695",,"8,568,260",,"560,750","112,150","280,375","100,935","2,938,330",,,"1,704,680","5,046,750","829,910","437,385","1,648,605",
28.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.01,12.00,24.50,22.37,22.88,"2,495,000","5,533,000",82,30,2.83,"67,476","190,793","190,479","131,316","135,970",2.22,29,19,"57,409,950",EU,"1,242,540","2,439,060","3,037,320","161,070","4,348,890",,"1,115,985","977,925","3,486,015","8,479,185","1,495,650","4,924,140","494,715","1,564,680","839,865",,"8,789,820",,"575,250","115,050","287,625","103,545","3,014,310",,,"1,748,760","5,177,250","851,370","448,695","1,691,235",
24.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.60,12.00,30.00,23.95,24.34,"2,495,000","6,014,000",86,22,2.87,"69,930","200,467","234,290","146,765","146,532",2.41,30,17,"61,377,000",EU,"1,328,400","2,607,600","3,247,200","172,200","4,649,400",,"1,193,100","1,045,500","3,726,900","9,065,100","1,599,000","5,264,400","528,900","1,672,800","897,900",,"9,397,200",,"615,000","123,000","307,500","110,700","3,222,600",,,"1,869,600","5,535,000","910,200","479,700","1,808,100",
22.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,24.42,13.00,30.00,23.94,24.40,"2,495,000","4,668,000",85,37,3.04,"54,918","166,714","171,311","113,409","128,652",1.87,28,22,"60,927,900",EU,"1,318,680","2,588,520","3,223,440","170,940","4,615,380",,"1,184,370","1,037,850","3,699,630","8,998,770","1,587,300","5,225,880","525,030","1,660,560","891,330",,"9,328,440",,"610,500","122,100","305,250","109,890","3,199,020",,,"1,855,920","5,494,500","903,540","476,190","1,794,870",
21.01.2019,11:01,Auction 3. Period CAP2-EU,T3PA,24.22,13.00,30.00,23.66,24.16,"2,495,000","4,845,000",82,30,2.73,"59,085","161,500","197,615","118,810","155,567",1.94,30,21,"60,428,900",EU,"1,307,880","2,567,320","3,197,040","169,540","4,577,580",,"1,174,670","1,029,350","3,669,330","8,925,070","1,574,300","5,183,080","520,730","1,646,960","884,030",,"9,252,040",,"605,500","121,100","302,750","108,990","3,172,820",,,"1,840,720","5,449,500","896,140","472,290","1,780,170",
17.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.55,12.00,28.10,23.11,23.40,"2,495,000","7,229,000",112,34,3.50,"64,545","225,906","245,607","146,765","145,701",2.90,32,17,"58,757,250",EU,"1,271,700","2,496,300","3,108,600","164,850","4,450,950",,"1,142,175","1,000,875","3,567,825","8,678,175","1,530,750","5,039,700","506,325","1,601,400","859,575",,"8,996,100",,"588,750","117,750","294,375","105,975","3,085,050",,,"1,789,800","5,298,750","871,350","459,225","1,730,925",
16.01.2019,15:00,EUAA Auction CAP2-EU,EAA3,22.81,22.25,23.00,22.57,22.59,"640,000","2,259,000",56,5,7.00,"40,339","282,375","237,360","213,333","89,567",3.53,8,3,"14,598,400",EU,"433,390","501,820","171,075","262,315","216,695",,"501,820","34,215","923,805","3,010,920","387,770","2,246,785","114,050","182,480","399,175",,"2,657,365",,"57,025","45,620","102,645","102,645","684,300",,,"536,035","296,530","672,895","22,810","34,215",
16.01.2019,11:00,Auction 3. Period CAP2-PL,T3PA,22.72,13.00,28.10,22.34,22.51,"4,428,500","10,328,000",111,35,3.83,"93,045","356,138","452,736","246,028","292,014",2.33,29,18,"100,615,520",PL,,,,,,,,,,,,,,,,,,,,,,,,,"100,615,520",,,,,,
15.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.55,13.00,30.00,22.23,22.40,"2,495,000","6,176,000",111,34,3.58,"55,640","199,226","220,411","124,750","145,477",2.48,31,20,"56,262,250",EU,"1,217,700","2,390,300","2,976,600","157,850","4,261,950",,"1,093,675","958,375","3,416,325","8,309,675","1,465,750","4,825,700","484,825","1,533,400","823,075",,"8,614,100",,"563,750","112,750","281,875","101,475","2,954,050",,,"1,713,800","5,073,750","834,350","439,725","1,657,425",
14.01.2019,11:01,Auction 3. Period CAP2-EU,T3PA,21.95,12.00,30.00,21.69,21.90,"2,495,000","5,854,000",76,32,2.53,"77,026","195,133","209,760","113,409","139,021",2.35,30,22,"54,765,250",EU,"1,185,300","2,326,700","2,897,400","153,650","4,148,550",,"1,064,575","932,875","3,325,425","8,088,575","1,426,750","4,697,300","471,925","1,492,600","801,175",,"8,384,900",,"548,750","109,750","274,375","98,775","2,875,450",,,"1,668,200","4,938,750","812,150","428,025","1,613,325",
10.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,21.40,12.00,30.00,21.05,21.19,"2,495,000","5,808,500",98,34,3.06,"59,270","181,516","197,401","108,478","102,746",2.33,32,23,"53,393,000",EU,"1,155,600","2,268,400","2,824,800","149,800","4,044,600",,"1,037,900","909,500","3,242,100","7,885,900","1,391,000","4,579,600","460,100","1,455,200","781,100",,"8,174,800",,"535,000","107,000","267,500","96,300","2,803,400",,,"1,626,400","4,815,000","791,800","417,300","1,572,900",
08.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,22.40,13.00,30.00,22.14,22.40,"2,495,000","4,859,500",103,47,3.22,"47,180","151,859","172,240","99,800","96,020",1.95,32,25,"55,888,000",EU,"1,209,600","2,374,400","2,956,800","156,800","4,233,600",,"1,086,400","952,000","3,393,600","8,254,400","1,456,000","4,793,600","481,600","1,523,200","817,600",,"8,556,800",,"560,000","112,000","280,000","100,800","2,934,400",,,"1,702,400","5,040,000","828,800","436,800","1,646,400",
07.01.2019,11:00,Auction 3. Period CAP2-EU,T3PA,23.01,13.00,30.00,22.76,23.10,"2,495,000","6,006,000",98,62,3.63,"61,286","222,444","277,007","108,478","121,828",2.41,27,23,"57,409,950",EU,"1,242,540","2,439,060","3,037,320","161,070","4,348,890",,"1,115,985","977,925","3,486,015","8,479,185","1,495,650","4,924,140","494,715","1,564,680","839,865",,"8,789,820",,"575,250","115,050","287,625","103,545","3,014,310",,,"1,748,760","5,177,250","851,370","448,695","1,691,235",
